TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
0324-63352,20/3/2024,CABA,La Boca,Aquino Diego Daniel,Mochila y toma,Normal,VARIOS,REALIZADO,,,,,,,,,"IQA, Av. Benavídez 2680, B1621 Benavidez, Provincia de Buenos Aires"
0324-63353,20/3/2024,NORTE,Benavidez,Cuello Francisco Waldemar,Luz del salón,Normal,ELECTRICIDAD,REALIZADO,realizado,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0324-63354,20/3/2024,CABA,CAyE Retiro,Jara Benitez Rodrigo,Ventana y techo,Emerg. Alta,VARIOS,REALIZADO,,,,,,,,,"Av. Maipú 438, B1602 Florida, Provincia de Buenos Aires"
0324-63355,20/3/2024,NORTE,Puente Saavedra,Cuello Francisco Waldemar,Luminarias,Normal,ELECTRICIDAD,REALIZADO,Realizado,,,,,,,,"Mariano Pelliza 3750, B1636FER Olivos, Provincia de Buenos Aires"
0324-63356,20/3/2024,NORTE,CDP Vte. Lopez/Pelliza 3780,Cuello Francisco Waldemar,Columna,Normal,CIVIL,REALIZADO,a presup. Releva andres,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63357,20/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Techo del baño/Olmedo (int. 1347),Normal,CIVIL,REALIZADO,,,,,,,,,"Av. Hipólito Yrigoyen 2317, B1823 Gerli, Provincia de Buenos Aires"
0324-63358,20/3/2024,SUR,Gerli,Sarmiento Ariel,Inundada,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Av. Rivadavia 5337, C1424 CABA"
0324-63359,20/3/2024,CABA,Caballito,Aquino Diego Daniel,Luz del baño y pasa paquetes,Normal,VARIOS,REALIZADO,,,,,,,,,"Av. Monroe 3381, C1430BKN CABA"
0324-63360,20/3/2024,CABA,Coghlan,Aquino Diego Daniel,Cortina,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4881,,,,,,,,"B1757CLD, Cnel. Montt 3932, B1757CLD Gregorio de Laferrere, Provincia de Buenos Aires"
0324-63336,20/3/2024,OESTE,CDD Laferrere,Encalada Roberto Nahuel,Tablero,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. Federico Lacroze 2476, C1426 CABA"
0324-63339,20/3/2024,CABA,Colegiales,Aquino Diego Daniel,Sótano inundado,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Dr, Manuel Belgrano 1453, B1854 Longchamps, Provincia de Buenos Aires"
0324-63351,20/3/2024,SUR,Longchamps,Sarmiento Ariel,Problema eléctrico,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. Eva Perón 9718, B1657 Loma Hermosa, Provincia de Buenos Aires"
0324-63361,21/3/2024,NORTE,Villa Loma Hermosa,Cuello Francisco Waldemar,A.A.'S,Normal,ELECTRICIDAD,REALIZADO,realizado,,,,,,,,"Av. San Martín no 2710, Buenos Aires"
0324-63362,21/3/2024,CABA,CDD 16,Aquino Diego Daniel,Techo,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63363,21/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Problemas eléctricos/Siplovich (int. 1209),Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Alsina 102, B1642 San Isidro, Provincia de Buenos Aires"
0324-63364,21/3/2024,NORTE,San Isidro,Cuello Francisco Waldemar,Baño del 1° piso/VER A ERICA STIGLIANO,Normal,SANITARIO,REALIZADO,p realizar,,,,,,,,"República 5363, Villa Ballester, Provincia de Buenos Aires"
0324-63365,21/3/2024,NORTE,CDD Villa Ballester,Cuello Francisco Waldemar,"Canilla, portón y mampara",Normal,VARIOS,REALIZADO,Presup.enviado,,,,,,,,"Tte Gral, Tte. Gral. Juan Domingo Perón 321, C1038 CABA"
0324-63366,21/3/2024,CABA,Centro,Jara Benitez Rodrigo,Filtración,Normal,CIVIL,REALIZADO,,,,,,,,,"Viamonte 2451, C1056 ABM, Buenos Aires"
0324-63367,21/3/2024,CABA,Facultad,Aquino Diego Daniel,Impermeabilización,Normal,CIVIL,REALIZADO,presup. Aprob. 4868,,,,,,,,"Dr, Salvador María del Carril 52, B1742 Paso del Rey, Provincia de Buenos Aires"
0324-63368,21/3/2024,OESTE,Paso del Rey,Encalada Roberto Nahuel,Frente de la Sucursal,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4822,,,,,,,,"Av. Almte. Brown 3394, Temperley, Provincia de Buenos Aires"
0324-63369,21/3/2024,SUR,Temperley,Sarmiento Ariel,Bomba de agua,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4891,,,,,,,,"Av. Cabildo 2349, C1428AAF CABA"
0324-63370,21/3/2024,CABA,Belgrano,Aquino Diego Daniel,Griferia,Normal,SANITARIO,REALIZADO,presup. Aprob. 4892,,,,,,,,"Av. Federico Lacroze 4164, C1427EDT CABA"
0324-63371,21/3/2024,CABA,Chacarita,Aquino Diego Daniel,Impermeabilización,Normal,CIVIL,REALIZADO,presup. Aprob. 4888,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0324-63372,21/3/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Reparar bomba/Altamirano,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Ventura de la Vega 3940, C1437 CABA"
0324-63373,21/3/2024,CABA,CDD 37,Aquino Diego Daniel,Techos,Emerg prog,CIVIL,REALIZADO,realizado.,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63374,21/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Toma y luz de emergencia/Pereira (int. 1359/1333/1444),Normal,VARIOS,REALIZADO,,,,,,,,,"Av. Corrientes 3702, C1194AAQ CABA"
0324-63375,21/3/2024,CABA,Abasto,Aquino Diego Daniel,Ventana/Fabian Seco de Oficios Judiciales,Normal,CIVIL,REALIZADO,ver presupuestos ,,,,,,,,"Vicente López 448, B1842AUJ Monte Grande, Provincia de Buenos Aires"
0324-63376,21/3/2024,SUR,CDD Monte Grande,Sarmiento Ariel,Flexible de la bacha,Normal,SANITARIO,REALIZADO,,,,,,,,,"Ing Guillermo Marconi 6595, B1684 Cdad. Jardin Lomas de Palomar, Provincia de Buenos Aires"
0324-63377,21/3/2024,OESTE,El Palomar,Encalada Roberto Nahuel,Timbre,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,#N/A
0324-63379,22/3/2024,SUR,Av. Centenario 2901/Quilmes Oeste,Ruiz Duarte Alfredo,Retirar buzón,Normal,CIVIL,REALIZADO,,,,,,,,,"República del Líbano 4041, B1672 Villa Lynch, Provincia de Buenos Aires"
0324-63380,22/3/2024,NORTE,Villa Lynch,Cuello Francisco Waldemar,Cerradura buzón,Emerg prog,CIVIL,REALIZADO,presup. Aprob. 4887,,,,,,,,"Av. Monroe 5254, Buenos Aires"
0324-63381,22/3/2024,CABA,Villa Urquiza,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. Corrientes 3702, C1194AAQ CABA"
0324-63382,22/3/2024,CABA,Abasto,Aquino Diego Daniel,Filtraciones/Diana Escudero de Oficios Judiciales,Emerg. Alta,CIVIL,REALIZADO,ver presupuestos ,,,,,,,,"Av. Bartolomé Mitre 1899, B1873 Crucecita, Provincia de Buenos Aires"
0324-63384,22/3/2024,SUR,Sarandi,Sarmiento Ariel,Cableado y luminarias,Normal,VARIOS,REALIZADO,realizado,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63386,22/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Maria Del Carmen Gomez (int. 1323),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0324-63387,22/3/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Cortina/Altamirano,Emerg. Alta,CIVIL,REALIZADO,Presup. enviado 4947,,,,,,,,"Av. Cabildo 2349, C1428AAF CABA"
0324-63388,22/3/2024,CABA,CDD 28,Aquino Diego Daniel,Timbre del portero,Emerg prog,ELECTRICIDAD,REALIZADO,presupuestar frente commax de embutir,,,,,,,,"Antonio Machado 649, C1405DIC CABA"
0324-63389,22/3/2024,CABA,CDD 5,Aquino Diego Daniel,Flotante del tanque de agua,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,,"Pte Gral, Tte. Gral. Julio Argentino Roca 1008, B1686 Hurlingham, Provincia de Buenos Aires"
0324-63390,22/3/2024,NORTE,Hurlingham,Cuello Francisco Waldemar,Una de la cortinas,Emerg. Alta,CIVIL,REALIZADO,enviar presupuesto,,,,,,,,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
0324-63391,22/3/2024,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Tanque se agua,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4886 realizado,,,,,,,,"Alsina 102, B1642 San Isidro, Provincia de Buenos Aires"
0324-63392,22/3/2024,NORTE,San Isidro,Cuello Francisco Waldemar,Mochila y picaporte,Normal,VARIOS,REALIZADO,p realizar,,,,,,,,"Av. Ángel T. de Alvear 1539, B1611 Don Torcuato, Provincia de Buenos Aires"
0324-63393,22/3/2024,NORTE,Don torcuato,Cuello Francisco Waldemar,Piso y luminaria,Normal,VARIOS,REALIZADO,,,,,,,,,"Av. Directorio 552, C1424CIS CABA"
0324-63394,22/3/2024,CABA,Directorio y Moreno,Aquino Diego Daniel,Filtración de pared cerca perilla en el baño y no se puede cortar el agua,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Ventura de la Vega 3940, C1437 CABA"
0324-63378,22/3/2024,CABA,CDD 37,Aquino Diego Daniel,Pluviales,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Avenida Hipólito Yrigoyen no 214, General Pacheco, Provincia de Buenos Aires"
0324-63383,22/3/2024,NORTE,CDD Gral. Pacheco,Cuello Francisco Waldemar,Pérdida tanque de agua,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Ventura de la Vega 3940, C1437 CABA"
0324-63385,22/3/2024,CABA,CDD 37,Aquino Diego Daniel,Tanque de agua,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63395,25/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Flotante baño damas/Cerles (int. 1261),Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Virrey Arredondo 2959, C1426EAC CABA"
0324-63396,25/3/2024,CABA,CDD 27,Aquino Diego Daniel,Cañeria,Emerg prog,SANITARIO,REALIZADO,,,,,,,,,"Carrasco 31, C1407AUA CABA"
0324-63398,25/3/2024,CABA,Floresta,Aquino Diego Daniel,Pérdidas agua en baños y baldosas,Emerg prog,VARIOS,REALIZADO,"presupuestar soportes para bacha ,griferias,revoque preparado para dos baldosas",,,,,,,,"Av. Pres. Juan Domingo Perón 2579, B1644 Victoria, Provincia de Buenos Aires"
0324-63399,25/3/2024,NORTE,Victoria,Cuello Francisco Waldemar,Impermeabilización techo del dépósito,Normal,CIVIL,REALIZADO,Presupuesto enviado,,,,,,,,"Belgrano 1398, B1663 San Miguel, Provincia de Buenos Aires"
0324-63400,25/3/2024,NORTE,San Miguel,Encalada Roberto Nahuel,Pérdida de agua en baños y tapas de inodoro,Emerg. Alta,VARIOS,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63397,25/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Techo de baño/Mussin (int. 1202/1204),Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0324-63402,26/3/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Conducto/Castello,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4904,,,,,,,,#N/A
0324-63404,26/3/2024,SUR,Agencia Tristán Suarez,Ruiz Duarte Alfredo,Pasador,Normal,CIVIL,REALIZADO,,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0324-63405,26/3/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Provisión de bomba desagote/Altamirano,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4905,,,,,,,,"Inte A M Campos 1951, B1650 General San Martin, Provincia de Buenos Aires"
0324-63406,26/3/2024,NORTE,San Martin,Cuello Francisco Waldemar,Puerta,Normal,CIVIL,REALIZADO,p realizar,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63407,26/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Sillas/Facundo Vera (int. 1210),Normal,CIVIL,REALIZADO,,,,,,,,,"Helguera 2901, C1417CQO CABA"
0324-63401,26/3/2024,CABA,Villa del Parque,Aquino Diego Daniel,Piso,Emerg prog,CIVIL,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63403,26/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Veronica Arias (int. 1624),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63408,27/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Amurar panel/Valdebenitez (int. 1179),Normal,CIVIL,REALIZADO,,,,,,,,,"Paraná 777, C1017 CABA"
0324-63409,27/3/2024,CABA,Tribunales,Aquino Diego Daniel,Cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Vicente López 448, B1842AUJ Monte Grande, Provincia de Buenos Aires"
0324-63410,27/3/2024,SUR,CDD Monte Grande,Sarmiento Ariel,Canilla del 1° piso,Normal,SANITARIO,REALIZADO,,,,,,,,,Av. Juan Bautista Alberdi 3177 B1406 Buenos Aires
0324-63411,27/3/2024,CABA,CDD 6,Aquino Diego Daniel,Portón,Normal,CIVIL,REALIZADO,,,,,,,,,"Av. 12 de Octubre 1964, B1879 Quilmes Oeste, Provincia de Buenos Aires"
0324-63412,27/3/2024,SUR,Quilmes Oeste,Sarmiento Ariel,Amurar cámaras/VER E-MAIL,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,,"República Oriental del Uruguay 346, B1708JFH Morón, Provincia de Buenos Aires"
0324-63413,27/3/2024,OESTE,CDD Morón,Encalada Roberto Nahuel,Carro,Normal,CIVIL,REALIZADO,,,,,,,,,"Av. 12 de Octubre 1964, B1879 Quilmes Oeste, Provincia de Buenos Aires"
0324-63414,27/3/2024,SUR,Quilmes Oeste,Sarmiento Ariel,Retirar buzón,Emerg prog,CIVIL,REALIZADO,,,,,,,,,#N/A
0324-63415,27/3/2024,SUR,Aeropuerto Ezeiza,Ruiz Duarte Alfredo,Temas eléctricos y mochilas/David Morales,Normal,VARIOS,REALIZADO,realizado,,,,,,,,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
0324-63416,27/3/2024,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Impermeabilización,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4912,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63417,28/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminaria/Laura Niz (int. 1609),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63418,28/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cerrajeria/Certoma (int. 1572),Normal,CIVIL,REALIZADO,,,,,,,,,"Marconi y, Rosetti, El Palomar, Provincia de Buenos Aires"
0324-63419,28/3/2024,OESTE,CDD El Palomar,Encalada Roberto Nahuel,Reflectores,Normal,ELECTRICIDAD,REALIZADO,Presup. enviado,,,,,,,,Av. Juan Bautista Alberdi 3177 B1406 Buenos Aires
0324-63420,28/3/2024,CABA,CDD 6,Aquino Diego Daniel,Pulsador,Normal,ELECTRICIDAD,REALIZADO,presupuestar pulsador electrico,,,,,,,,"Marconi y, Rosetti, El Palomar, Provincia de Buenos Aires"
0324-63421,28/3/2024,OESTE,CDD El Palomar,Encalada Roberto Nahuel,Mochila,Emerg prog,SANITARIO,REALIZADO,Presup. enviado,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0324-63422,28/3/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Toma y sin luz una parte/Eduardo Da Rosa (int. 1149),Emerg. Alta,VARIOS,REALIZADO,,,,,,,,,"Av. Los Quilmes 1938, Bernal Oeste, Provincia de Buenos Aires"
0324-63423,28/3/2024,SUR,CDD Bernal,Sarmiento Ariel,Caños de desagues,Emerg. Alta,SANITARIO,REALIZADO,"pasar presupuesto, levantar inodoros, picar paredes y amurar nuevamente la entrada de inodoros",,,,,,,,
0424-63425,3/4/2024,EDIFICIOS,CDD Casa Central,Jara Benitez Rodrigo,Gotera,Emerg. Alta,CIVIL,REALIZADO,Realizado,,,,,,,,"Av. 12 de Octubre 1964, B1879 Quilmes Oeste, Provincia de Buenos Aires"
0424-63426,3/4/2024,SUR,Quilmes Oeste,Sarmiento Ariel,"Instalar toma, ventiladores y pizarras",Normal,VARIOS,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0424-63427,3/4/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Filtración/Barua Jefe de Seguridad,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,,"Av. Santa Fe 3882, C1425 CABA"
0424-63428,3/4/2024,CABA,Plaza Italia,Aquino Diego Daniel,Térmica,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0424-63429,3/4/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Gotera/Verónica Rodriguez (int. 1394),Normal,CIVIL,REALIZADO,Se volvio a abrir ticket/ usuario dice que no se realizó 25/4/24,,,,,,,,"Av. Constituyentes 532, B1617 Gral. Pacheco, Provincia de Buenos Aires"
0424-63430,3/4/2024,NORTE,General Pacheco,Cuello Francisco Waldemar,Depósito,Normal,SANITARIO,REALIZADO,,,,,,,,,"Pte Gral, Tte. Gral. Julio Argentino Roca 1008, B1686 Hurlingham, Provincia de Buenos Aires"
0424-63431,3/4/2024,NORTE,Hurlingham,Cuello Francisco Waldemar,Luminarias,Normal,ELECTRICIDAD,REALIZADO,Presup Enviado,,,,,,,,"Av. Manuel Belgrano 390, B1870 Avellaneda, Provincia de Buenos Aires"
0424-63432,3/4/2024,SUR,Avellaneda,Sarmiento Ariel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,realizado ,,,,,,,,"Av, Antártida Argentina 45, B1833 Turdera, Provincia de Buenos Aires"
0424-63433,4/4/2024,SUR,Turdera,Sarmiento Ariel,Desmontar oficina,Emerg prog,CIVIL,REALIZADO,,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0424-63434,4/4/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Bomba centrifuga/Altamirano,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4903 (Ya está para retirar),,,,,,,,"Av. Los Quilmes 1938, Bernal Oeste, Provincia de Buenos Aires"
0424-63435,4/4/2024,SUR,CDD Bernal,Sarmiento Ariel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,"Ya estan pedidas dos lamparas e40, envio a mte grande",,,,,,,,"Av. San Juan 3001, C1233ABA CABA"
0424-63436,4/4/2024,CABA,San Cristobal,Aquino Diego Daniel,Puerta,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Rivadavia 302, B1625 Belén de Escobar, Provincia de Buenos Aires"
0424-63437,4/4/2024,NORTE,CDD Escobar,Cuello Francisco Waldemar,Sin luz en un sector,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Uruguay 1069, C1016 CABA"
0424-63438,4/4/2024,CABA,Plaza R. Peña,Aquino Diego Daniel,Llave luz,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Pte Gral, Tte. Gral. Julio Argentino Roca 1008, B1686 Hurlingham, Provincia de Buenos Aires"
0424-63439,4/4/2024,NORTE,Hurlingham,Cuello Francisco Waldemar,Cortina,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4921,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0424-63440,4/4/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Sillas/Trujillo (int. 1867),Normal,CIVIL,REALIZADO,,,,,,,,,"Belgrano Dr, Manuel Belgrano 1453, B1854 Longchamps, Provincia de Buenos Aires"
0424-63441,4/4/2024,SUR,CDD Longchamps,Sarmiento Ariel,Caños cloacales,Normal,CIVIL,REALIZADO,,,,,,,,,"Av. Antártida Argentina 1100, C1104 CABA"
0424-63442,4/4/2024,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Luminarias/Altamirano,Emerg. Alta,ELECTRICIDAD,REALIZADO,Realizado,,,,,,,,"Av. Tomás Márquez 1294, Pilar Centro, Provincia de Buenos Aires"
0424-63443,4/4/2024,NORTE,CDD Pilar,Cuello Francisco Waldemar,Trabajos varios,Emerg. Alta,VARIOS,REALIZADO,presup. enviado 5148,,,,,,,,"Av. 12 de Octubre 1964, B1879 Quilmes Oeste, Provincia de Buenos Aires"
0424-63444,4/4/2024,SUR,Quilmes Oeste,Sarmiento Ariel,Rack del local viejo,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Av. Hipólito Yrigoyen 9720, B1828 CGX, Provincia de Buenos Aires"
0424-63445,5/4/2024,SUR,CDD Temperley,Sarmiento Ariel,Luminarias,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,,"Av. 12 de Octubre 1964, B1879 Quilmes Oeste, Provincia de Buenos Aires"
0424-63446,5/4/2024,SUR,Quilmes Oeste,Sarmiento Ariel,Mueble del local nuevo,Normal,CIVIL,REALIZADO,,,,,,,,,"República Oriental del Uruguay 346, B1708JFH Morón, Provincia de Buenos Aires"
0424-63447,5/4/2024,OESTE,CDD Morón,Encalada Roberto Nahuel,Colocar toma en Jefatura,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"Gral. Pedro Díaz 444, B1688 Villa Tesei, Provincia de Buenos Aires"
0424-63448,5/4/2024,OESTE,Santos Tesei,Encalada Roberto Nahuel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,Realizado,,,,,,,,"Belgrano Dr, Manuel Belgrano 1453, B1854 Longchamps, Provincia de Buenos Aires"
0424-63450,5/4/2024,SUR,CDD Longchamps,Sarmiento Ariel,Diyuntor,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,,"Aeroparque Internacional Jorge Newbery, Buenos Aires"
0424-63452,5/4/2024,CABA,Aeroparque,Aquino Diego Daniel,Trasladar toma para carga del elevador/Norberto Vazquez,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,,"Vélez Sársfield 1371, B1824 Lanús, Provincia de Buenos Aires"
0424-63453,5/4/2024,SUR,CDD Lanús,Sarmiento Ariel,Trabajos varios,Emerg prog,VARIOS,REALIZADO,"se volvio a abrir ticket/ s/el usuario, solo se hizo luminaria 24/4/2024",,,,,,,,"Av. Hipólito Yrigoyen 2317, B1823 Gerli, Provincia de Buenos Aires"
0424-63454,5/4/2024,SUR,Gerli,Sarmiento Ariel,Humedad y pintar,Emerg. Alta,VARIOS,REALIZADO,presup. enviado ,,,,,,,,"Avenida Hipólito Yrigoyen no 214, General Pacheco, Provincia de Buenos Aires"
0424-63449,5/4/2024,NORTE,CDD Gral. Pacheco,Cuello Francisco Waldemar,Pérdida tanque de agua,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,,"Ventura de la Vega 3940, C1437 CABA"
0424-63451,5/4/2024,CABA,CDD 37,Aquino Diego Daniel,Cambio de bomba,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Antonio Berutti 1248, Banfield, Provincia de Buenos Aires"
0424-63455,8/4/2024,SUR,CDD Banfield,Sarmiento Ariel,Mochila,Emerg prog,SANITARIO,REALIZADO,,,,,,,,,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
0424-63456,8/4/2024,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luminarias/Natalia Cabrera (int. 1395),Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,#N/A
0424-63457,8/4/2024,CABA,Av. Forest 1002/Chacarita,Aquino Diego Daniel,Retirar buzón y arreglar la vereda,Normal,CIVIL,REALIZADO,a presup.,,,,,,,,"Bartolomé Mitre 2204, B1845 José Marmol, Provincia de Buenos Aires"
0424-63458,8/4/2024,SUR,José Mármol,Sarmiento Ariel,Retirar mamparas,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,,"Bartolomé Mitre 2204, B1845 José Marmol, Provincia de Buenos Aires"
0424-63459,8/4/2024,SUR,José Mármol,Sarmiento Ariel,Trabajos varios/VER E-MAIL DE VICTOR ORELLANA,Emerg. Alta,VARIOS,REALIZADO,,,,,,,,,#N/A
0424-63460,8/4/2024,SUR,CDD Quilmes y CDD Quilmes Oeste,Ruiz Duarte Alfredo,Trabajos varios/VER E-MAIL-ambos lugares se mudan al CDP Quilmes/Zambon,Emerg. Alta,VARIOS,REALIZADO,,,,,,,,,"Ventura de la Vega 3940, C1437 CABA"
0424-63461,8/4/2024,CABA,CDD 37,Aquino Diego Daniel,Bomba de agua,Emerg. Alta,CIVIL,REALIZADO,presup. Aprob. 4927,,,,,,,,"Carrasco 31, C1407AUA CABA"
0424-63462,8/4/2024,CABA,Floresta,Aquino Diego Daniel,Pérdida en cisterna,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,,"Carrasco 31, C1407AUA CABA"
0424-63463,8/4/2024,CABA,Floresta,Aquino Diego Daniel,Mueble,Normal,CIVIL,REALIZADO,,,,,,,,,"Av. del Libertador 556, Merlo, Provincia de Buenos Aires"
0424-63464,8/4/2024,OESTE,Merlo,Encalada Roberto Nahuel,Cable suelto,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,,"25 de Mayo 2639, B1613 Los Polvorines, Provincia de Buenos Aires"
0424-63466,8/4/2024,NORTE,Los Polvorines,Encalada Roberto Nahuel,Buzón,Emerg. Alta,CIVIL,REALIZADO,cierre sucursal,,,,,,,,"Av. Cnel. Díaz 2190, C1425 CABA"
0424-63467,8/4/2024,CABA,Palermo,Aquino Diego Daniel,Pasa paquetes,Normal,CIVIL,REALIZADO,ver en la semana del 15 al 19,,,,,,,,"Mariano Pelliza 3750, B1636FER Olivos, Provincia de Buenos Aires"
